instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_desc,weather_description
20,2011-01-20,1,0,1,19,0,6,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.88,0.2537,6,31,37,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
21,2011-01-21,1,0,1,20,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.87,0.2537,11,25,36,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
22,2011-01-22,1,0,1,21,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.87,0.194,3,31,34,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
23,2011-01-23,1,0,1,22,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.94,0.2239,11,17,28,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
24,2011-01-24,1,0,1,23,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.88,0.2985,15,24,39,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
25,2011-01-25,1,0,1,0,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.88,0.2985,4,13,17,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
26,2011-01-26,1,0,1,1,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.94,0.2537,1,16,17,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
27,2011-01-27,1,0,1,2,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.42,0.4242,1.0,0.2836,1,8,9,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
28,2011-01-28,1,0,1,3,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.94,0.194,2,4,6,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
29,2011-01-29,1,0,1,4,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.94,0.194,2,1,3,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
30,2011-01-30,1,0,1,6,0,0,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.77,0.2985,0,2,2,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
31,2011-01-31,1,0,1,7,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.76,0.194,0,1,1,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
32,2011-02-01,1,0,1,8,0,0,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.4,0.4091,0.71,0.2239,0,8,8,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
33,2011-02-02,1,0,1,9,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.38,0.3939,0.76,0.2239,1,19,20,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
34,2011-02-03,1,0,1,10,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3485,0.81,0.2239,7,46,53,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
35,2011-02-04,1,0,1,11,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.71,0.2537,16,54,70,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
36,2011-02-05,1,0,1,12,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.66,0.2985,20,73,93,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
37,2011-02-06,1,0,1,13,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3485,0.66,0.1343,11,64,75,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
38,2011-02-07,1,0,1,14,0,0,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.36,0.3485,0.76,0.194,4,55,59,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
39,2011-02-08,1,0,1,15,0,0,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.34,0.3333,0.81,0.1642,19,55,74,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
40,2011-02-09,1,0,1,16,0,0,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.34,0.3333,0.71,0.1642,9,67,76,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
41,2011-02-10,1,0,1,17,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.34,0.3333,0.57,0.194,7,58,65,Clear,"Clear, Few clouds, Partly cloudy"
42,2011-02-11,1,0,1,18,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.46,0.3284,10,43,53,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
43,2011-02-12,1,0,1,19,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.32,0.2879,0.42,0.4478,1,29,30,Clear,"Clear, Few clouds, Partly cloudy"
44,2011-02-13,1,0,1,20,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.2727,0.39,0.3582,5,17,22,Clear,"Clear, Few clouds, Partly cloudy"
45,2011-02-14,1,0,1,21,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2273,0.44,0.3284,11,20,31,Clear,"Clear, Few clouds, Partly cloudy"
46,2011-02-15,1,0,1,22,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2121,0.44,0.2985,0,9,9,Clear,"Clear, Few clouds, Partly cloudy"
47,2011-02-16,1,0,1,23,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.47,0.1642,0,8,8,Clear,"Clear, Few clouds, Partly cloudy"
48,2011-02-17,1,0,1,0,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.197,0.44,0.3582,0,5,5,Clear,"Clear, Few clouds, Partly cloudy"
49,2011-02-18,1,0,1,1,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.1667,0.44,0.4179,0,2,2,Clear,"Clear, Few clouds, Partly cloudy"
50,2011-02-19,1,0,1,4,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1364,0.47,0.3881,0,1,1,Clear,"Clear, Few clouds, Partly cloudy"
51,2011-02-20,1,0,1,5,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1364,0.47,0.2836,0,3,3,Clear,"Clear, Few clouds, Partly cloudy"
52,2011-02-21,1,0,1,6,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1061,0.5,0.3881,0,30,30,Clear,"Clear, Few clouds, Partly cloudy"
53,2011-02-22,1,0,1,7,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1364,0.5,0.194,1,63,64,Clear,"Clear, Few clouds, Partly cloudy"
54,2011-02-23,1,0,1,8,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1212,0.5,0.2836,1,153,154,Clear,"Clear, Few clouds, Partly cloudy"
55,2011-02-24,1,0,1,9,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1364,0.43,0.3881,7,81,88,Clear,"Clear, Few clouds, Partly cloudy"
56,2011-02-25,1,0,1,10,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.1667,0.43,0.2537,11,33,44,Clear,"Clear, Few clouds, Partly cloudy"
57,2011-02-26,1,0,1,11,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.1818,0.4,0.3284,10,41,51,Clear,"Clear, Few clouds, Partly cloudy"
58,2011-02-27,1,0,1,12,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2121,0.35,0.2985,13,48,61,Clear,"Clear, Few clouds, Partly cloudy"
59,2011-02-28,1,0,1,13,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2121,0.35,0.2836,8,53,61,Clear,"Clear, Few clouds, Partly cloudy"
60,2011-03-01,1,0,1,14,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2424,0.3,0.2836,11,66,77,Clear,"Clear, Few clouds, Partly cloudy"
61,2011-03-02,1,0,1,15,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2424,0.3,0.2537,14,58,72,Clear,"Clear, Few clouds, Partly cloudy"
62,2011-03-03,1,0,1,16,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2424,0.3,0.2537,9,67,76,Clear,"Clear, Few clouds, Partly cloudy"
63,2011-03-04,1,0,1,17,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2273,0.3,0.2239,11,146,157,Clear,"Clear, Few clouds, Partly cloudy"
64,2011-03-05,1,0,1,18,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2576,0.32,0.1045,9,148,157,Clear,"Clear, Few clouds, Partly cloudy"
65,2011-03-06,1,0,1,19,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.47,0.0,8,102,110,Clear,"Clear, Few clouds, Partly cloudy"
66,2011-03-07,1,0,1,20,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2273,0.47,0.1045,3,49,52,Clear,"Clear, Few clouds, Partly cloudy"
67,2011-03-08,1,0,1,21,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.197,0.64,0.1343,3,49,52,Clear,"Clear, Few clouds, Partly cloudy"
68,2011-03-09,1,0,1,22,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1515,0.69,0.1343,0,20,20,Clear,"Clear, Few clouds, Partly cloudy"
69,2011-03-10,1,0,1,23,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.2121,0.55,0.1045,1,11,12,Clear,"Clear, Few clouds, Partly cloudy"
70,2011-03-11,1,0,1,0,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1818,0.55,0.1045,0,5,5,Clear,"Clear, Few clouds, Partly cloudy"
71,2011-03-12,1,0,1,1,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1818,0.59,0.1045,0,2,2,Clear,"Clear, Few clouds, Partly cloudy"
72,2011-03-13,1,0,1,2,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1515,0.63,0.1343,0,1,1,Clear,"Clear, Few clouds, Partly cloudy"
73,2011-03-14,1,0,1,4,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1818,0.63,0.0896,0,2,2,Clear,"Clear, Few clouds, Partly cloudy"
74,2011-03-15,1,0,1,5,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.12,0.1515,0.68,0.1045,0,4,4,Clear,"Clear, Few clouds, Partly cloudy"
75,2011-03-16,1,0,1,6,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.12,0.1515,0.74,0.1045,0,36,36,Clear,"Clear, Few clouds, Partly cloudy"
76,2011-03-17,1,0,1,7,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.12,0.1515,0.74,0.1343,2,92,94,Clear,"Clear, Few clouds, Partly cloudy"
77,2011-03-18,1,0,1,8,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1515,0.69,0.1642,2,177,179,Clear,"Clear, Few clouds, Partly cloudy"
78,2011-03-19,1,0,1,9,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1515,0.64,0.2239,2,98,100,Clear,"Clear, Few clouds, Partly cloudy"
79,2011-03-20,1,0,1,10,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.1364,0.69,0.3284,5,37,42,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
80,2011-03-21,1,0,1,11,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2121,0.51,0.2985,7,50,57,Clear,"Clear, Few clouds, Partly cloudy"
81,2011-03-22,1,0,1,12,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.51,0.1642,12,66,78,Clear,"Clear, Few clouds, Partly cloudy"
82,2011-03-23,1,0,1,13,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2273,0.56,0.194,18,79,97,Clear,"Clear, Few clouds, Partly cloudy"
83,2011-03-24,1,0,1,14,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2576,0.52,0.2239,9,54,63,Clear,"Clear, Few clouds, Partly cloudy"
84,2011-03-25,1,0,1,15,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2727,0.52,0.2537,17,48,65,Clear,"Clear, Few clouds, Partly cloudy"
85,2011-03-26,1,0,1,16,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.2879,0.49,0.2537,15,68,83,Clear,"Clear, Few clouds, Partly cloudy"
86,2011-03-27,1,0,1,17,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2727,0.48,0.2239,10,202,212,Clear,"Clear, Few clouds, Partly cloudy"
87,2011-03-28,1,0,1,18,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2576,0.48,0.194,3,179,182,Clear,"Clear, Few clouds, Partly cloudy"
88,2011-03-29,1,0,1,19,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2576,0.48,0.1045,2,110,112,Clear,"Clear, Few clouds, Partly cloudy"
89,2011-03-30,1,0,1,20,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2576,0.48,0.1045,1,53,54,Clear,"Clear, Few clouds, Partly cloudy"
90,2011-03-31,1,0,1,21,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2727,0.64,0.0,0,48,48,Clear,"Clear, Few clouds, Partly cloudy"
91,2011-04-01,1,0,1,22,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2576,0.64,0.0896,1,34,35,Clear,"Clear, Few clouds, Partly cloudy"
92,2011-04-02,1,0,1,23,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2273,0.69,0.0896,2,9,11,Clear,"Clear, Few clouds, Partly cloudy"
93,2011-04-03,1,0,1,0,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.64,0.0,0,6,6,Clear,"Clear, Few clouds, Partly cloudy"
94,2011-04-04,1,0,1,1,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.197,0.74,0.0896,0,6,6,Clear,"Clear, Few clouds, Partly cloudy"
95,2011-04-05,1,0,1,2,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.197,0.74,0.0896,0,2,2,Clear,"Clear, Few clouds, Partly cloudy"
96,2011-04-06,1,0,1,4,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2273,0.48,0.2239,0,2,2,Clear,"Clear, Few clouds, Partly cloudy"
97,2011-04-07,1,0,1,5,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.47,0.1642,0,3,3,Clear,"Clear, Few clouds, Partly cloudy"
98,2011-04-08,1,0,1,6,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.197,0.47,0.2239,0,33,33,Clear,"Clear, Few clouds, Partly cloudy"
99,2011-04-09,1,0,1,7,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.1818,0.43,0.194,1,87,88,Clear,"Clear, Few clouds, Partly cloudy"
100,2011-04-10,1,0,1,8,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.1818,0.4,0.2985,3,192,195,Clear,"Clear, Few clouds, Partly cloudy"
101,2011-04-11,1,0,1,9,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.197,0.37,0.3284,6,109,115,Clear,"Clear, Few clouds, Partly cloudy"
102,2011-04-12,1,0,1,10,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.197,0.37,0.3284,4,53,57,Clear,"Clear, Few clouds, Partly cloudy"
103,2011-04-13,1,0,1,11,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2273,0.33,0.3284,12,34,46,Clear,"Clear, Few clouds, Partly cloudy"
104,2011-04-14,1,0,1,12,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2273,0.33,0.3284,5,74,79,Clear,"Clear, Few clouds, Partly cloudy"
105,2011-04-15,1,0,1,13,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2576,0.3,0.2985,6,65,71,Clear,"Clear, Few clouds, Partly cloudy"
106,2011-04-16,1,0,1,14,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.2879,0.28,0.194,10,52,62,Clear,"Clear, Few clouds, Partly cloudy"
107,2011-04-17,1,0,1,15,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.2879,0.28,0.194,7,55,62,Clear,"Clear, Few clouds, Partly cloudy"
108,2011-04-18,1,0,1,16,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.3182,0.28,0.0896,4,85,89,Clear,"Clear, Few clouds, Partly cloudy"
109,2011-04-19,1,0,1,17,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2273,0.38,0.194,4,186,190,Clear,"Clear, Few clouds, Partly cloudy"
110,2011-04-20,1,0,1,18,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2424,0.38,0.1343,3,166,169,Clear,"Clear, Few clouds, Partly cloudy"
111,2011-04-21,1,0,1,19,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2576,0.38,0.1045,5,127,132,Clear,"Clear, Few clouds, Partly cloudy"
112,2011-04-22,1,0,1,20,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.47,0.1642,7,82,89,Clear,"Clear, Few clouds, Partly cloudy"
113,2011-04-23,1,0,1,21,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.197,0.51,0.194,3,40,43,Clear,"Clear, Few clouds, Partly cloudy"
114,2011-04-24,1,0,1,22,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.197,0.55,0.1343,1,41,42,Clear,"Clear, Few clouds, Partly cloudy"
115,2011-04-25,1,0,1,23,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.47,0.0,1,18,19,Clear,"Clear, Few clouds, Partly cloudy"
116,2011-04-26,1,0,1,0,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.2424,0.55,0.0,0,11,11,Clear,"Clear, Few clouds, Partly cloudy"
117,2011-04-27,1,0,1,1,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.2273,0.64,0.0,0,4,4,Clear,"Clear, Few clouds, Partly cloudy"
118,2011-04-28,1,0,1,2,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.2273,0.64,0.0,0,2,2,Clear,"Clear, Few clouds, Partly cloudy"
119,2011-04-29,1,0,1,4,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.197,0.64,0.0896,0,1,1,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
120,2011-04-30,1,0,1,5,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.14,0.1818,0.69,0.0896,0,4,4,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
121,2011-05-01,1,0,1,6,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.14,0.1667,0.63,0.1045,0,36,36,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
122,2011-05-02,1,0,1,7,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.2273,0.59,0.0,0,95,95,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
123,2011-05-03,1,0,1,8,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.2273,0.59,0.0,3,216,219,Clear,"Clear, Few clouds, Partly cloudy"
124,2011-05-04,1,0,1,9,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.18,0.2424,0.51,0.0,6,116,122,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
125,2011-05-05,1,0,1,10,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.47,0.0,3,42,45,Clear,"Clear, Few clouds, Partly cloudy"
126,2011-05-06,1,0,1,11,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2576,0.44,0.0896,2,57,59,Clear,"Clear, Few clouds, Partly cloudy"
127,2011-05-07,1,0,1,12,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2879,0.35,0.0,6,78,84,Clear,"Clear, Few clouds, Partly cloudy"
128,2011-05-08,1,0,1,13,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2727,0.35,0.1045,12,55,67,Clear,"Clear, Few clouds, Partly cloudy"
129,2011-05-09,1,0,1,14,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2727,0.36,0.1642,11,59,70,Clear,"Clear, Few clouds, Partly cloudy"
130,2011-05-10,1,0,1,15,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2727,0.36,0.0,8,54,62,Clear,"Clear, Few clouds, Partly cloudy"
131,2011-05-11,1,0,1,16,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2576,0.38,0.1642,12,74,86,Clear,"Clear, Few clouds, Partly cloudy"
